target,learner,mean_risk,SE_risk,fold_SD,fold_min_risk,fold_max_risk,Week,analysis
PeakRate,SuperLearner,2.65148732867744,0.0145922950525516,0.405294800216442,2.08869425289903,3.40558913440043,01,SqErrLoss
PeakRate,SuperLearnerCV,2.65259213236475,0.0146005528754108,0.404960815526125,2.09948299621524,3.40594550955767,01,SqErrLoss
PeakRate,SuperLearner,2.37378654586172,0.0135756720520963,0.524513722274008,1.7192411974807,3.45008435027666,05,SqErrLoss
PeakRate,SuperLearnerCV,2.47077003497652,0.0142359740322901,0.622765756252851,1.7799560711428,3.63608157955102,05,SqErrLoss
PeakRate,SuperLearner,1.9206252179197,0.0130664480964444,0.809413335059036,1.27195053504366,4.23252644126159,10,SqErrLoss
PeakRate,SuperLearnerCV,2.06363588652047,0.0139868596545455,0.808028979581065,1.32824265008768,4.0495640594206,10,SqErrLoss
PeakRate,SuperLearner,1.77567730833845,0.011619549326348,0.704331300540011,0.982212236025023,3.16653143999838,15,SqErrLoss
PeakRate,SuperLearnerCV,2.22609868840756,0.0148628184685835,0.92587415374203,1.1994679363088,4.12393508808461,15,SqErrLoss
PeakRate,SuperLearner,0.871607969009696,0.00869659065375492,0.811951427028675,0.19939825154096,3.40969068577142,20,SqErrLoss
PeakRate,SuperLearnerCV,1.1637929072234,0.0112771773769678,1.04489021824984,0.191145134883029,3.70127627565295,20,SqErrLoss
PeakRate,SuperLearner,0.272425062845281,0.00241622008938404,0.191903611137512,0.0630044444714669,0.635889091465142,25,SqErrLoss
PeakRate,SuperLearnerCV,0.365418068441551,0.00376328708017383,0.261717932361508,0.0873035184938476,0.833436003070045,25,SqErrLoss
PeakRate,SuperLearner,0.358923356113936,0.00292477057588528,0.177188119867373,0.0891011523179951,0.6746696941333,30,SqErrLoss
PeakRate,SuperLearnerCV,0.686548996824512,0.0120032493147885,0.653440854636414,0.091002354826299,2.6405554296802,30,SqErrLoss
PeakWeek,SuperLearner,3.51869975552192,0.0171651577255578,1.90602981318565,1.07283590826517,6.88532699606249,01,SqErrLoss
PeakWeek,SuperLearnerCV,3.50429432634164,0.0172966563297295,1.92229869304942,1.03466038534549,6.85791663165708,01,SqErrLoss
PeakWeek,SuperLearner,3.34559102943696,0.017171936114261,1.71346250534569,0.772867552846557,7.0785826743506,05,SqErrLoss
PeakWeek,SuperLearnerCV,3.78852292222437,0.018063963283843,1.89774811173185,0.810728710038553,7.22132335870163,05,SqErrLoss
PeakWeek,SuperLearner,3.06140698006479,0.0181675040748276,1.90106716497866,0.858453378944831,6.23265418114454,10,SqErrLoss
PeakWeek,SuperLearnerCV,3.38008817173923,0.0209197670939755,2.06775616900636,0.827153802192444,6.49921302276007,10,SqErrLoss
PeakWeek,SuperLearner,3.10317302451961,0.0152338633528446,1.45128542552832,0.761941338756269,5.81446868744466,15,SqErrLoss
PeakWeek,SuperLearnerCV,4.09786549614151,0.0185873905911107,2.01723946718666,0.540634164175457,7.91839979906803,15,SqErrLoss
PeakWeek,SuperLearner,1.23779285656196,0.00835876681882351,0.782023315676948,0.359542728708007,3.24187983999311,20,SqErrLoss
PeakWeek,SuperLearnerCV,1.58847423720675,0.00964098529469109,0.923979088985781,0.417678269438908,3.67872814419815,20,SqErrLoss
PeakWeek,SuperLearner,1.22970030456024,0.00764388128221472,0.768282915914468,0.124332239461129,2.77430691891103,25,SqErrLoss
PeakWeek,SuperLearnerCV,1.71755353572544,0.0113489237763029,1.07823973316549,0.364223950377138,4.33679267585932,25,SqErrLoss
PeakWeek,SuperLearner,1.26153363441153,0.00862707373478414,0.813838725917485,0.405860806353626,2.85276405161396,30,SqErrLoss
PeakWeek,SuperLearnerCV,1.77345667299325,0.01098187308757,1.12997960413552,0.435638923672058,4.17805846644723,30,SqErrLoss
CumHosp,SuperLearner,28.1829121374762,0.163464930156943,6.18308711866124,21.1707917650821,40.6641862315085,01,SqErrLoss
CumHosp,SuperLearnerCV,28.0948125036102,0.163427978137453,6.18451036626697,21.1216118706893,40.6806029727159,01,SqErrLoss
CumHosp,SuperLearner,26.1513781350113,0.152426716335001,6.26000598494452,15.7587846002907,35.662620108491,05,SqErrLoss
CumHosp,SuperLearnerCV,29.0821406607418,0.184499529100442,9.43617711435923,18.6912195430108,53.4041778463581,05,SqErrLoss
CumHosp,SuperLearner,19.3563567701949,0.119256217643635,7.67256649817002,10.2546638747171,40.6157427436394,10,SqErrLoss
CumHosp,SuperLearnerCV,24.4275342690703,0.157066211492669,9.6865433175483,11.8213775688468,49.1931038598393,10,SqErrLoss
CumHosp,SuperLearner,16.8360656117618,0.117419637594834,8.17738888081698,7.03209380738045,37.105682519314,15,SqErrLoss
CumHosp,SuperLearnerCV,20.8376582437872,0.146130603992795,9.34094854898954,6.07012565077253,37.1215942503793,15,SqErrLoss
CumHosp,SuperLearner,9.24240283667375,0.0624017238446157,4.46726602734145,1.88471634758693,19.1320823163923,20,SqErrLoss
CumHosp,SuperLearnerCV,13.9488144958779,0.130162874451408,5.99785452393017,5.05188025916295,22.1102931715777,20,SqErrLoss
CumHosp,SuperLearner,1.7647889870871,0.016197404123044,1.39348344142344,0.404458209752004,5.42257048601142,25,SqErrLoss
CumHosp,SuperLearnerCV,2.10829539148083,0.0200818632596584,1.67893888775289,0.378763505148635,5.36123208621007,25,SqErrLoss
CumHosp,SuperLearner,7.84563659948518e-15,6.50942431517654e-17,5.30306772323079e-15,2.53973480422969e-15,1.84639478941143e-14,30,SqErrLoss
CumHosp,SuperLearnerCV,7.67078672950296e-15,6.43457143067972e-17,4.97679310451008e-15,2.34570198023366e-15,1.79257382845647e-14,30,SqErrLoss
